post_id,account,days_since_last_post,days_since_first_post,post_number,posts_per_week,engagement_trend_7d,engagement_std_7d,posting_consistency,avg_gap_between_posts,is_after_pause,is_morning,is_afternoon,is_evening
3398809426852499501,faperta.unja.official,0.9643518518518519,120.25496527777777,128,7.452388536437771,87.8695652173913,48.56139913723665,2.1585271775855066,0.9467509002057612,0,1,0,0
3398809426852499501,faperta.unja.official,0.9643518518518519,120.25496527777777,128,7.452388536437771,87.8695652173913,48.56139913723665,2.1585271775855066,0.9467509002057612,0,1,0,0
3398809426852499501,faperta.unja.official,0.9643518518518519,120.25496527777777,128,7.452388536437771,87.8695652173913,48.56139913723665,2.1585271775855066,0.9467509002057612,0,1,0,0
3398809426852499501,faperta.unja.official,0.9643518518518519,120.25496527777777,128,7.452388536437771,87.8695652173913,48.56139913723665,2.1585271775855066,0.9467509002057612,0,1,0,0
3398809426852499501,faperta.unja.official,0.9643518518518519,120.25496527777777,128,7.452388536437771,87.8695652173913,48.56139913723665,2.1585271775855066,0.9467509002057612,0,1,0,0
3398809426852499501,faperta.unja.official,0.9643518518518519,120.25496527777777,128,7.452388536437771,87.8695652173913,48.56139913723665,2.1585271775855066,0.9467509002057612,0,1,0,0
3399498050052780750,faperta.unja.official,0.9511574074074074,121.20612268518518,134,7.741884069813472,182.86363636363637,206.8819068372664,2.1163096975080853,0.9110224642255893,0,1,0,0
3400096767441364103,faperta.unja.official,0.8250347222222222,122.0311574074074,135,7.738882980658619,178.7391304347826,203.0909373993703,2.1082810050178704,0.9113242307156781,0,0,0,0
3400096767441364103,faperta.unja.official,0.8250347222222222,122.0311574074074,135,7.738882980658619,178.7391304347826,203.0909373993703,2.1082810050178704,0.9113242307156781,0,0,0,0
3400096767441364103,faperta.unja.official,0.8250347222222222,122.0311574074074,135,7.738882980658619,178.7391304347826,203.0909373993703,2.1082810050178704,0.9113242307156781,0,0,0,0
3400271890739786417,faperta.unja.official,0.24163194444444444,122.27278935185186,138,7.858648728523719,165.84615384615384,193.9634382676678,2.0876386025958644,0.8972879221132898,0,1,0,0
3400271890739786417,faperta.unja.official,0.24163194444444444,122.27278935185186,138,7.858648728523719,165.84615384615384,193.9634382676678,2.0876386025958644,0.8972879221132898,0,1,0,0
3400271890739786417,faperta.unja.official,0.24163194444444444,122.27278935185186,138,7.858648728523719,165.84615384615384,193.9634382676678,2.0876386025958644,0.8972879221132898,0,1,0,0
3400271890739786417,faperta.unja.official,0.24163194444444444,122.27278935185186,138,7.858648728523719,165.84615384615384,193.9634382676678,2.0876386025958644,0.8972879221132898,0,1,0,0
3402442994677859023,faperta.unja.official,2.9955555555555557,125.26834490740741,142,8.072114860811848,167.4,197.2173082329912,2.062210408320618,0.8733770667989418,0,1,0,0
3402442994677859023,faperta.unja.official,2.9955555555555557,125.26834490740741,142,8.072114860811848,167.4,197.2173082329912,2.062210408320618,0.8733770667989418,0,1,0,0
3403171636290590454,faperta.unja.official,1.005324074074074,126.27366898148148,144,7.990845578265548,169.70833333333334,201.65844545465583,2.0566142775043064,0.8821714430099113,0,1,0,0
3403171636290590454,faperta.unja.official,1.005324074074074,126.27366898148148,144,7.990845578265548,169.70833333333334,201.65844545465583,2.0566142775043064,0.8821714430099113,0,1,0,0
3403171636290590454,faperta.unja.official,1.1574074074074073e-05,126.27368055555556,146,8.038097001433083,160.65384615384616,196.05100199849878,2.0435328223855036,0.8769004790380658,0,1,0,0
3403171636290590454,faperta.unja.official,1.1574074074074073e-05,126.27368055555556,146,8.038097001433083,160.65384615384616,196.05100199849878,2.0435328223855036,0.8769004790380658,0,1,0,0
3403877362080353353,faperta.unja.official,0.9737037037037037,127.24738425925926,148,8.14896655797785,192.85,214.11562911562282,2.0319662573333703,0.8648882229832572,0,1,0,0
3403877362080353353,faperta.unja.official,0.9737037037037037,127.24738425925926,148,8.14896655797785,192.85,214.11562911562282,2.0319662573333703,0.8648882229832572,0,1,0,0
3403877362080353353,faperta.unja.official,0.9737037037037037,127.24738425925926,148,8.14896655797785,192.85,214.11562911562282,2.0319662573333703,0.8648882229832572,0,1,0,0
3405133332966124517,faperta.unja.official,1.7329282407407407,128.9803125,151,8.25164309751692,54.4375,12.675271200254453,2.0137682608541447,0.854009290330599,0,0,0,0
3405311601489404928,faperta.unja.official,0.2459375,129.22625,152,8.195049147520091,65.0,51.74493657874615,2.008281870403857,0.85986875,0,1,0,0
3405311601489404928,faperta.unja.official,0.2459375,129.22625,152,8.195049147520091,65.0,51.74493657874615,2.008281870403857,0.85986875,0,1,0,0
3405311601489404928,faperta.unja.official,0.2459375,129.22625,152,8.195049147520091,65.0,51.74493657874615,2.008281870403857,0.85986875,0,1,0,0
3405311601489404928,faperta.unja.official,0.2459375,129.22625,152,8.195049147520091,65.0,51.74493657874615,2.008281870403857,0.85986875,0,1,0,0
3405311601489404928,faperta.unja.official,1.1574074074074073e-05,129.22626157407407,156,8.39612694789178,93.88888888888889,71.69616356040989,1.986021450287106,0.8391314935064934,0,1,0,0
3406679351004696142,faperta.unja.official,1.8871296296296296,131.1133912037037,157,8.450294752000174,109.4,80.03285039817801,1.980709900397679,0.8337178166069295,0,0,0,0
3406679351004696142,faperta.unja.official,1.8871296296296296,131.1133912037037,157,8.450294752000174,109.4,80.03285039817801,1.980709900397679,0.8337178166069295,0,0,0,0
3406679351004696142,faperta.unja.official,1.8871296296296296,131.1133912037037,157,8.450294752000174,109.4,80.03285039817801,1.980709900397679,0.8337178166069295,0,0,0,0
