post_id,account,emoji_count,unique_emoji_count,emoji_diversity,emoji_at_start,emoji_at_end,emoji_density,exclamation_count,question_count,all_caps_count,all_caps_ratio,multi_punct_count,cta_keyword_count,positive_word_count,negative_word_count,sentiment_polarity,sentiment_strength
3161650498017805270,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.08,0,0,0,0,0.0,0
3165394248120587792,fst_unja,0,0,0.0,0,0,0.0,1,0,1,0.034482758620689655,0,0,3,0,1.0,3
3169212968555216857,fst_unja,0,0,0.0,0,0,0.0,1,0,0,0.0,0,0,3,0,1.0,3
3171135817050055697,fst_unja,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,1.0,1
3171136041554366103,fst_unja,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,1.0,1
3171136248216243515,fst_unja,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,1.0,1
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3174701838914676229,fst_unja,0,0,0.0,0,0,0.0,2,0,4,0.05,0,0,0,0,0.0,0
3175550168507077150,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.1,0,0,0,0,0.0,0
3175550168507077150,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.1,0,0,0,0,0.0,0
3176926396136805405,fst_unja,0,0,0.0,0,0,0.0,0,0,7,0.056910569105691054,0,1,0,0,0.0,0
3176926396136805405,fst_unja,0,0,0.0,0,0,0.0,0,0,7,0.056910569105691054,0,1,0,0,0.0,0
3182316343450448766,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.061224489795918366,0,1,1,0,1.0,1
3182316343450448766,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.061224489795918366,0,1,1,0,1.0,1
3184380860863081328,fst_unja,0,0,0.0,0,0,0.0,2,0,14,0.12844036697247707,0,0,3,0,1.0,3
3185937150676354411,fst_unja,0,0,0.0,0,0,0.0,0,0,3,0.03529411764705882,0,0,0,1,-1.0,1
3189180224957327086,fst_unja,0,0,0.0,0,0,0.0,0,0,3,0.034482758620689655,0,0,2,0,1.0,2
3190935399514611967,fst_unja,0,0,0.0,0,0,0.0,0,1,2,0.014388489208633094,0,0,3,0,1.0,3
3190935399514611967,fst_unja,0,0,0.0,0,0,0.0,0,1,2,0.014388489208633094,0,0,3,0,1.0,3
3192418412907877372,fst_unja,0,0,0.0,0,0,0.0,1,0,9,0.1111111111111111,0,0,3,0,1.0,3
3195921781702075159,fst_unja,8,2,0.5435644429110573,1,0,0.8620689655172413,2,0,10,0.07874015748031496,0,2,1,0,1.0,1
3197402386197614557,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.02,0,0,5,0,1.0,5
3197402386197614557,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.02,0,0,5,0,1.0,5
3197402386197614557,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.02,0,0,5,0,1.0,5
3197402386197614557,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.02,0,0,5,0,1.0,5
3197402386197614557,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.02,0,0,5,0,1.0,5
3201458729900415432,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.08333333333333333,0,0,1,0,1.0,1
3203813646820586749,fst_unja,0,0,0.0,0,0,0.0,1,2,1,0.06666666666666667,1,2,0,0,0.0,0
3209556066010724093,fst_unja,0,0,0.0,0,0,0.0,1,0,1,0.047619047619047616,0,1,0,0,0.0,0
3221349512195462164,fst_unja,0,0,0.0,0,0,0.0,1,0,1,0.011363636363636364,0,0,4,0,1.0,4
3227633248595789352,fst_unja,0,0,0.0,0,0,0.0,0,0,6,0.09230769230769231,0,0,0,0,0.0,0
3241466796008271471,fst_unja,0,0,0.0,0,0,0.0,0,0,3,0.04838709677419355,0,0,1,1,0.0,2
3242942733182727377,fst_unja,0,0,0.0,0,0,0.0,0,0,5,0.0684931506849315,0,0,0,0,0.0,0
3248017321474234941,fst_unja,0,0,0.0,0,0,0.0,0,0,1,0.010526315789473684,0,0,1,0,1.0,1
3261305811582323691,fst_unja,0,0,0.0,0,0,0.0,1,0,9,0.11392405063291139,0,0,3,0,1.0,3
3268381682634011197,fst_unja,0,0,0.0,0,0,0.0,0,0,4,0.06896551724137931,0,0,2,0,1.0,2
3275427373352986168,fst_unja,0,0,0.0,0,0,0.0,1,0,6,0.04,0,0,0,0,0.0,0
3278469944392204318,fst_unja,0,0,0.0,0,0,0.0,0,0,16,0.16666666666666666,0,1,0,0,0.0,0
3278469944392204318,fst_unja,0,0,0.0,0,0,0.0,0,0,16,0.16666666666666666,0,1,0,0,0.0,0
3287909287795902915,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.017391304347826087,0,0,0,0,0.0,0
3287909287795902915,fst_unja,0,0,0.0,0,0,0.0,0,0,2,0.017391304347826087,0,0,0,0,0.0,0
3293132230599847767,fst_unja,0,0,0.0,0,0,0.0,1,0,9,0.059602649006622516,0,0,3,0,1.0,3
3293132230599847767,fst_unja,0,0,0.0,0,0,0.0,1,0,9,0.059602649006622516,0,0,3,0,1.0,3
3293132230599847767,fst_unja,0,0,0.0,0,0,0.0,1,0,9,0.059602649006622516,0,0,3,0,1.0,3
3293132230599847767,fst_unja,0,0,0.0,0,0,0.0,1,0,9,0.059602649006622516,0,0,3,0,1.0,3
3293132230599847767,fst_unja,0,0,0.0,0,0,0.0,1,0,9,0.059602649006622516,0,0,3,0,1.0,3
3293132230599847767,fst_unja,0,0,0.0,0,0,0.0,1,0,9,0.059602649006622516,0,0,3,0,1.0,3
